,start station id,start station name,start station latitude,start station longitude
165,492,W 33 St & 7 Ave,40.75019995,-73.99093085
166,510,W 51 St & 6 Ave,40.7606597,-73.98042047
167,512,W 29 St & 9 Ave,40.750072700000004,-73.99839279
170,524,W 43 St & 6 Ave,40.75527307,-73.98316936
171,449,W 52 St & 9 Ave,40.76461837,-73.98789473
172,331,Pike St & Monroe St,40.71173107,-73.99193043
177,284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103
178,334,W 20 St & 7 Ave,40.74238787,-73.99726235
181,3084,Devoe St & Leonard St,40.71348658,-73.94792458
183,151,Cleveland Pl & Spring St,40.7218158,-73.99720307
184,474,5 Ave & E 29 St,40.7451677,-73.98683077
186,389,Broadway & Berry St,40.71044554,-73.96525063
188,2000,Front St & Washington St,40.70255088,-73.98940236
194,360,William St & Pine St,40.70717936,-74.00887308
200,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328
205,252,MacDougal St & Washington Sq,40.73226398,-73.99852205
208,350,Clinton St & Grand St,40.71559509,-73.9870295
210,377,6 Ave & Canal St,40.72243797,-74.00566443
211,359,E 47 St & Park Ave,40.75510267,-73.97498696
214,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231
217,376,John St & William St,40.70862144,-74.00722156
219,228,E 48 St & 3 Ave,40.7546011026,-73.971878855
220,445,E 10 St & Avenue A,40.72740794,-73.98142006
222,367,E 53 St & Lexington Ave,40.75828065,-73.97069431
225,493,W 45 St & 6 Ave,40.7568001,-73.98291153
226,364,Lafayette Ave & Classon Ave,40.68900443,-73.96023854
229,250,Lafayette St & Jersey St,40.72456089,-73.99565293
230,540,Lexington Ave & E 29 St,40.74311555376486,-73.98215353488922
232,328,Watts St & Greenwich St,40.72405549,-74.00965965
233,116,W 17 St & 8 Ave,40.74177603,-74.00149746
234,392,Jay St & Tech Pl,40.695065,-73.987167
237,412,Forsyth St & Canal St,40.715815500000005,-73.99422366
241,415,Pearl St & Hanover Square,40.7047177,-74.00926027
242,444,Broadway & W 24 St,40.742354299999995,-73.98915076
245,3086,Graham Ave & Conselyea St,40.715143,-73.944507
247,324,DeKalb Ave & Hudson Ave,40.689888,-73.981013
248,357,E 11 St & Broadway,40.73261787,-73.99158043
249,259,South St & Whitehall St,40.70122128,-74.01234218
250,455,1 Ave & E 44 St,40.75001986,-73.96905301
251,3158,W 63 St & Broadway,40.77163851,-73.98261428
252,532,S 5 Pl & S 4 St,40.710451,-73.960876
253,523,W 38 St & 8 Ave,40.75466591,-73.99138152
254,401,Allen St & Rivington St,40.72019576,-73.98997825
259,459,W 20 St & 11 Ave,40.746745000000004,-74.007756
262,3224,W 13 St & Hudson St,40.73997354103409,-74.00513872504234
265,403,E 2 St & 2 Ave,40.72502876,-73.99069656
266,394,E 9 St & Avenue C,40.72521311,-73.97768752
268,402,Broadway & E 22 St,40.740343200000005,-73.98955109
269,500,Broadway & W 51 St,40.76228826,-73.98336183
271,3002,South End Ave & Liberty St,40.711512,-74.01575600000001
274,346,Bank St & Hudson St,40.73652889,-74.00618026
275,3105,N 15 St & Wythe Ave,40.724055,-73.955736
286,224,Spruce St & Nassau St,40.71146364,-74.00552427
287,446,W 24 St & 7 Ave,40.74487634,-73.99529885
289,380,W 4 St & 7 Ave S,40.73401143,-74.00293877
293,432,E 7 St & Avenue A,40.72621788,-73.98379855
300,72,W 52 St & 11 Ave,40.76727216,-73.99392888
303,476,E 31 St & 3 Ave,40.74394314,-73.97966069
304,2012,E 27 St & 1 Ave,40.739445,-73.97680600000001
307,3094,Graham Ave & Withers St,40.7169811,-73.94485918
310,379,W 31 St & 7 Ave,40.749156,-73.9916
311,435,W 21 St & 6 Ave,40.74173969,-73.99415556
314,253,W 13 St & 5 Ave,40.73543934,-73.99453948
315,3222,Hanson Pl & St Felix St,40.68515959989177,-73.97711366415024
